Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Positiv case,Chrome 88.0.4324.104,,,2021-02-09 16:16:13,2021-02-09 16:17:12,58.843s,PASSED
,,,,,,,
Test Cases/siswa/login/positif case/TC001 Siswa berhasil login,Chrome 88.0.4324.104,pastikan siswa berhasil login,,2021-02-09 16:16:14,2021-02-09 16:16:48,33.599s,PASSED
"openBrowser("""")",Chrome 88.0.4324.104,,,2021-02-09 16:16:15,2021-02-09 16:16:20,4.529s,PASSED
"navigateToUrl(""https://devsekolah-siswa.pijarsekolah.id/login"")",Chrome 88.0.4324.104,,,2021-02-09 16:16:20,2021-02-09 16:16:46,26.172s,PASSED
"setText(findTestObject(""Object Repository/siswa/Page_Login Siswa/input_Username_username""), ""111111"")",Chrome 88.0.4324.104,,,2021-02-09 16:16:46,2021-02-09 16:16:47,0.930s,PASSED
"setEncryptedText(findTestObject(""Object Repository/siswa/Page_Login Siswa/input_Password_password""), ""aeHFOx8jV/A="")",Chrome 88.0.4324.104,,,2021-02-09 16:16:47,2021-02-09 16:16:47,0.589s,PASSED
"click(findTestObject(""Object Repository/siswa/Page_Login Siswa/button_Login""))",Chrome 88.0.4324.104,,,2021-02-09 16:16:47,2021-02-09 16:16:48,0.539s,PASSED
,,,,,,,
Test Cases/siswa/login/positif case/TC 002 siswa ubah password,Chrome 88.0.4324.104,pastikan siswa dapat akses semua menu,,2021-02-09 16:16:48,2021-02-09 16:17:12,23.576s,PASSED
"callTestCase(findTestCase(""siswa/login/positif case/TC001 Siswa berhasil login""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.104,,,2021-02-09 16:16:49,2021-02-09 16:17:00,10.165s,PASSED
"click(findTestObject(""siswa/ubah password/Page_Beranda  Pijar Sekolah/span_Data Siswa""))",Chrome 88.0.4324.104,,,2021-02-09 16:17:00,2021-02-09 16:17:04,4.912s,PASSED
"click(findTestObject(""siswa/ubah password/Page_Ubah Password  Pijar Sekolah/Page_Ubah Password  Pijar Sekolah/span_Ubah Password""), STOP_ON_FAILURE)",Chrome 88.0.4324.104,,,2021-02-09 16:17:04,2021-02-09 16:17:06,1.787s,PASSED
"setText(findTestObject(""siswa/ubah password/Page_Ubah Password  Pijar Sekolah/password lama baru dan konfirmasi password/Page_Ubah Password  Pijar Sekolah/input_Password Lama_form-control""), ""123456"")",Chrome 88.0.4324.104,,,2021-02-09 16:17:06,2021-02-09 16:17:08,1.467s,PASSED
"setText(findTestObject(""siswa/ubah password/Page_Ubah Password  Pijar Sekolah/password lama baru dan konfirmasi password/Page_Ubah Password  Pijar Sekolah/input_Password Baru_form-control""), ""123456"")",Chrome 88.0.4324.104,,,2021-02-09 16:17:08,2021-02-09 16:17:08,0.737s,PASSED
"setText(findTestObject(""siswa/ubah password/Page_Ubah Password  Pijar Sekolah/password lama baru dan konfirmasi password/Page_Ubah Password  Pijar Sekolah/input_Konfirmasi Password Baru_form-control""), ""123456"")",Chrome 88.0.4324.104,,,2021-02-09 16:17:08,2021-02-09 16:17:09,0.737s,PASSED
"click(findTestObject(""siswa/ubah password/Page_Ubah Password  Pijar Sekolah/button_Ubah Password""))",Chrome 88.0.4324.104,,,2021-02-09 16:17:09,2021-02-09 16:17:10,0.491s,PASSED
"click(findTestObject(""siswa/ubah password/Page_Ubah Password  Pijar Sekolah/a_Ok""))",Chrome 88.0.4324.104,,,2021-02-09 16:17:10,2021-02-09 16:17:12,1.874s,PASSED
